team,squad_size,avg_age,foreigners,total_market_value
Real Madrid,23,27.4,16,€837.50m
FC Barcelona,25,25.4,10,€813.70m
Atlético de Madrid,22,27.8,16,€611.50m
Real Sociedad,27,24.8,5,€371.30m
Villarreal CF,25,28.0,11,€360.20m
Sevilla FC,25,28.5,18,€276.50m
Real Betis Balompié,26,28.8,12,€260.00m
Valencia CF,25,24.4,14,€237.20m
Athletic Bilbao,25,27.3,1,€236.90m
Getafe CF,24,27.3,12,€144.30m
Celta de Vigo,22,26.0,9,€128.70m
CA Osasuna,24,27.6,5,€124.00m
RCD Espanyol Barcelona,21,26.5,5,€92.20m
Girona FC,26,26.0,9,€91.60m
UD Almería,28,25.4,13,€87.00m
Rayo Vallecano,27,28.2,10,€82.50m
Elche CF,25,28.0,9,€72.20m
RCD Mallorca,25,27.8,15,€71.60m
Real Valladolid CF,25,27.7,10,€65.15m
Cádiz CF,27,28.6,9,€65.00m
